1 94; Linie: 0.807 94.421
1 11; Linie: 0.576 10.628
1 44; Linie: 0.968 44.242
1 60; Linie: 0.903 59.793
1 27; Linie: 0.841 26.327
1 60; Linie: 0.933 59.852
1 82; Linie: 0.979 81.594
1 45; Linie: 0.845 45.127
1 41; Linie: 0.975 40.681
1 68; Linie: 0.828 67.548
1 45; Linie: 0.981 45.408
1 59; Linie: 0.981 58.919
1 54; Linie: 0.879 53.733
1 46; Linie: 0.964 46.165
1 53; Linie: 0.455 53.065
1 65; Linie: 0.912 64.846
1 96; Linie: 0.957 96.024
1 97; Linie: 0.768 96.925
1 69; Linie: 0.98 68.693
1 23; Linie: 0.418 22.998
1 99; Linie: 0.651 99.12
1 28; Linie: 0.947 27.322
1 84; Linie: 0.621 83.863
1 98; Linie: 0.693 98.344
1 73; Linie: 0.161 73.269
1 73; Linie: 0.734 73.235
1 61; Linie: 0.743 61.402
1 61; Linie: 0.762 61.055
1 87; Linie: 0.726 87.036
1 96; Linie: 0.957 96.024
1 27; Linie: 0.841 26.327
1 14; Linie: 0.981 14.207
1 18; Linie: 0.992 18.06
1 55; Linie: 0.667 55.695
1 15; Linie: 0.956 15.268
1 21; Linie: 0.981 20.496
1 27; Linie: 0.841 26.327
1 95; Linie: 0.87 95.99
1 39; Linie: 0.502 39.407
1 88; Linie: 0.825 88.442
1 59; Linie: 0.979 58.937
1 87; Linie: 1.01081 86.7447
1 85; Linie: 0.959 85.442
1 87; Linie: 1.01081 86.7447
1 87; Linie: 1.01081 86.7447
1 98; Linie: 0.693 98.344
1 96; Linie: 0.957 96.024
1 41; Linie: 0.975 40.681
1 23; Linie: 0.979 23.438
1 99; Linie: 0.651 99.12
1 94; Linie: 0.892 94.512
1 81; Linie: 1.01558 80.8803
1 4; Linie: 0.903 3.444
1 99; Linie: 0.983 99.183
1 25; Linie: 0.89 25.25
1 81; Linie: 1.01558 80.8803
1 1; Linie: 0.974 0.6
1 32; Linie: 1.018 32.387
1 44; Linie: 0.968 44.242
1 18; Linie: 0.992 18.06
1 59; Linie: 0.165 59.644
1 17; Linie: 0.871 17.252
1 83; Linie: 0.876 83.08
1 25; Linie: 0.375 24.69
1 25; Linie: 0.878 24.846
1 32; Linie: 1.009 32.328
1 4; Linie: 1.019 4.346
1 59; Linie: 0.979 58.937
1 69; Linie: 0.98 68.693
1 59; Linie: 0.508 58.858
1 32; Linie: 1.009 32.328
1 99; Linie: 0.835 99.086
1 41; Linie: 0.341 40.734
1 98; Linie: 0.898 97.612
1 99; Linie: 0.66 98.87
1 4; Linie: 0.905 3.958
1 19; Linie: 0.974 18.852
1 82; Linie: 1.036 81.669
1 19; Linie: 0.974 18.852
1 95; Linie: 0.87 95.99
1 64; Linie: 0.76 63.533
1 33; Linie: 1.009 32.328
1 14; Linie: 0.799 13.593
1 9; Linie: 0.981 8.505
1 99; Linie: 0.635 99.385
1 18; Linie: 0.523 17.407
1 83; Linie: 0.876 83.08
1 39; Linie: 0.633 39.175
1 41; Linie: 0.975 40.681
1 27; Linie: 0.779 26.941
1 24; Linie: 1.011 23.67
1 46; Linie: 0.766 46.146
1 40; Linie: 0.921 39.625
1 10; Linie: 0.541 9.773
1 99; Linie: 0.918 99.504
1 99; Linie: 0.835 99.086
1 99; Linie: 0.635 99.385
1 29; Linie: 1.052 29.018
1 33; Linie: 0.848 32.452
1 8; Linie: 0.919 7.412
1 18; Linie: 0.434 17.664
1 64; Linie: 0.981 64.387
1 7; Linie: 1.03 6.985
1 34; Linie: 0.756 33.511
1 29; Linie: 1.05 29.418
1 99; Linie: 0.918 99.504
1 95; Linie: 1.062 95.151
1 32; Linie: 0.559 32.551
1 8; Linie: 0.927 8.018
1 23; Linie: 0.418 22.998
1 64; Linie: 0.981 64.387
1 32; Linie: 0.838 31.854
1 99; Linie: 0.918 99.504
1 24; Linie: 0.79 23.603
1 7; Linie: 1.003 6.762
1 41; Linie: 0.854 40.96
1 18; Linie: 0.93 18.032
1 61; Linie: 0.743 61.402
1 68; Linie: 0.828 67.548
1 49; Linie: 0.906 49.254
1 100; Linie: 1.026 99.572
1 92; Linie: 0.929 92.468
1 55; Linie: 1.058 55.539
1 24; Linie: 1.091 23.899
1 82; Linie: 1.036 81.669
1 82; Linie: 0.446 81.611
1 24; Linie: 0.79 23.603
1 37; Linie: 1.045 37.559
1 4; Linie: 0.905 3.958
1 45; Linie: 1.069 45.121
1 99; Linie: 0.918 99.504
1 1; Linie: 0.974 0.6
1 4; Linie: 1.03 3.809
1 29; Linie: 1.052 29.018
1 24; Linie: 1.091 23.899
1 99; Linie: 0.918 99.504
1 41; Linie: 0.955 40.585
1 19; Linie: 0.713 18.795
1 95; Linie: 1.062 95.151
1 64; Linie: 0.76 63.533
1 75; Linie: 1.046 75.318
1 75; Linie: 1.046 75.318
1 75; Linie: 0.853 75.475
1 19; Linie: 0.868 18.89
1 17; Linie: 0.913 17.145
